image, efficiency, wastedBytes, userWastedPercent
haroungzh/mysql, 98.4988, 8309268, 2.1431
aspvr/mysql, 94.6565, 27235297, 9.5477
linuxconfig/nginx, 98.9330, 3500555, 4.5789
dnioqfp/cassandra, 98.7483, 7248712, 2.1574
cassandra, 98.2414, 7471574, 2.7842
ausybe/mysql, 98.4767, 8301231, 2.1870
yavende/nginx, 98.8217, 3815936, 5.4929
supportlobby/mysql, 96.4848, 21700844, 23.8485
java, 98.9057, 9049449, 1.7399
flux7labs/cassandra, 84.1181, 163042320, 19.9108
activeeon/cassandra, 98.2415, 7462559, 2.7843
rubinlab/mysql, 99.2564, 3378898, 1.7006
dvukolov/mongo, 98.0273, 9315843, 2.7518
thingsboard/cassandra, 98.2437, 7437930, 2.7759
databench/cassandra, 98.8408, 7964996, 1.9921
deizel/mysql, 99.3991, 3674792, 1.5625
poweroflinks/mysql, 98.2220, 8273000, 2.6117
cmptstks/nginx, 98.1727, 3979793, 6.8858
nitra/mongo, 77.3666, 240429343, 35.9999
getuojian/mysql, 98.7203, 6777086, 2.6529
wangzldocker/mongodb, 91.1524, 37674501, 12.8885
jacksoncage/mongo, 82.0560, 188869891, 31.7729
amd64/mongo, 98.6546, 6578732, 2.0384
softwareplant/mysql, 97.9311, 9517507, 2.9430
nanofi/mysql, 99.0724, 5417585, 1.8407
chromapdx/mongo, 96.3346, 13927223, 5.5444
protopilotfactory/java, 95.2206, 38195489, 7.9095
k200user/mongodb, 92.1158, 36174666, 10.9873
vfiump/cassandra, 93.2325, 73300921, 13.4805
wolfdeng/mysql, 99.9144, 192544, 0.0999
puffinrocks/mongo, 98.9406, 4527191, 2.0129
arvatolille/nginx, 98.2131, 3984095, 5.5919
falinux/mongodb, 97.8070, 23018364, 2.6935
ultra2/mongo, 99.0660, 5265906, 1.8867
tifayuki/java, 91.7910, 65760350, 11.8644
pingpongpulse/nginx, 99.7802, 143031, 0.2815
twdevops/java, 90.7587, 83468504, 12.6922
catapulte/mongodb, 99.0621, 5297188, 1.8992
erasmolpa/mongo, 99.0040, 4406791, 1.8941
uspgamedev/nginx, 98.2084, 3586974, 6.6358
josuediaz91/mongodb, 84.7917, 69276993, 20.6793
netknight/java, 98.5207, 13429005, 2.2810
darron/nginx, 100.0000, 0, 0.0000
velmuruganv/mysql, 98.4963, 7819765, 2.7556
atlo/mysql, 98.3533, 5656487, 3.0660
jerson/nginx, 95.4519, 1529076, 10.5839
3bagels/nginx, 95.9248, 1429106, 10.0858
angrimoz/mongodb, 92.0771, 33528734, 11.2993
kuberdock/mysql, 99.0166, 5303862, 2.0446
rexsoftware/nginx, 99.2451, 69466, 3.2924
gazpowell/mongodb, 89.4711, 43421473, 7.6199
jwaldrip/mysql, 88.0107, 85271190, 20.2559
freenas/nginx, 98.9522, 3420113, 5.8201
versates/java, 99.8316, 3548509, 0.3204
artemeff/cassandra, 98.4269, 7958046, 3.0384
jkosgei/mysql, 99.0155, 5312132, 2.0478
yfix/mongo, 91.3522, 36619340, 12.5909
stanleygu/mongodb, 90.0450, 73158908, 15.3098
ndegory/cassandra, 98.6451, 7148367, 2.7233
cannin/mongodb, 93.8751, 40192520, 11.8942
castelislogice/mysql, 98.5821, 6055957, 3.4635
kavlez/java, 98.9599, 9990911, 1.5762
adinstruments/mongo, 98.9383, 4541699, 2.0192
adiwitcoth/nginx, 97.9776, 482529, 2.8168
abema/mongodb, 91.0422, 39420846, 12.8203
yfix/mysql, 98.2203, 8283601, 2.6150
nangualin/nginx, 99.7944, 52278, 0.4518
eyague/mongodb, 92.1459, 31285744, 12.1121
gebele/mongodb, 99.9741, 60200, 0.0419
drone32bit/mysql, 99.2023, 3590822, 2.3556
pwcdigital/mongodb, 61.2295, 393509359, 106.1958
ethanheadspace/mysql, 98.2514, 6927727, 3.9404
sport1/mysql, 98.6045, 8314361, 1.9717
mygento/nginx, 98.8975, 3646720, 2.8271
codemonkeyai/cassandra, 98.4024, 8047271, 3.0700
funcy/java, 99.5124, 656853, 0.9273
codenvy/mysql, 99.0164, 5305114, 2.0451
honux77/mysql, 67.9313, 438271212, 61.0412
odpks/java, 99.7141, 373759, 0.3173
extendedmind/nginx, 98.9653, 3420925, 5.8696
architek/nginx, 96.3906, 5746109, 10.2555
buddy/mongo, 98.9518, 4489123, 1.9672
coco/mongodb, 99.1132, 3580929, 2.0951
mgbi/mongo, 97.9816, 8174542, 3.4372
delopes/mongo, 91.0837, 35419872, 13.2992
associated/mysql, 99.0041, 5282098, 2.0850
mailu/nginx, 97.3997, 6595343, 4.5522
folsomlabs/java, 90.6746, 37516263, 23.7837
triply/mongodb, 99.0024, 4405375, 1.8985
desertbit/nginx, 98.1941, 3600913, 6.7095
yannickvh/nginx, 98.1946, 3600088, 6.7084
musashisakamoto/mysql, 98.2255, 8276198, 2.6057
bartbons/mysql, 98.4827, 8300761, 2.1772
gebizar/mysql, 98.6278, 8306026, 1.9352
kreable/nginx, 76.3195, 138968621, 57.7998
safaksaylam/mongodb, 98.8246, 6207882, 2.1007
nginx, 98.4295, 3646507, 6.3431
openstec/mysql, 99.4563, 944580, 0.5717
lastbackend/mongodb, 93.5175, 24544419, 13.5877
cdrocker/nginx, 96.3423, 7996695, 7.5313
bastion/mysql, 99.7679, 437859, 0.2550
dreamquark/mongo, 90.7737, 39577142, 13.5247
i386/cassandra, 98.1740, 7450286, 2.9222
ajnouri/nginx, 84.1109, 57295147, 17.1147
nexusmicro/mongodb, 93.5725, 32451294, 11.5474
crossvale/cassandra, 98.6491, 7116525, 2.7060
objectsystems/mysql, 97.7466, 13510329, 7.0561
mediamoose/mysql, 98.0911, 10327377, 2.5958
mcuz/mongo, 98.7962, 4508511, 2.4223
projectclearwater/cassandra, 90.1909, 110337931, 16.6075
bearstech/nginx, 98.8133, 4449917, 105.0498
wen777/cassandra, 98.6852, 7447053, 2.5997
