"","parent_image","image","official","link","pull_count","star_count","parent_image","lib_count","total_high_vuls","total_not_high_vuls","total_vuls"
"181","cassandra","huahaiy/cassandra",0,"https://hub.docker.com/r/huahaiy/cassandra",114,-1,"cassandra",139,0,0,0
"182","cassandra","shashankkoppar/cassandra",0,"https://hub.docker.com/r/shashankkoppar/cassandra",120,-1,"cassandra",222,5,54,59
"183","cassandra","huahaiy/cassandra",0,"https://hub.docker.com/r/huahaiy/cassandra",114,-1,"cassandra",139,0,0,0
"184","cassandra","eliocity/cassandra",0,"https://hub.docker.com/r/eliocity/cassandra",108,-1,"cassandra",199,1,23,24
"185","cassandra","kiskae/cassandra",0,"https://hub.docker.com/r/kiskae/cassandra",95,-1,"cassandra",242,0,0,0
"186","cassandra","austburn/cassandra",0,"https://hub.docker.com/r/austburn/cassandra",95,-1,"cassandra",222,1,24,25
"187","cassandra","austburn/cassandra",0,"https://hub.docker.com/r/austburn/cassandra",95,-1,"cassandra",222,1,24,25
"188","cassandra","stefanjacobs123/cassandra",0,"https://hub.docker.com/r/stefanjacobs123/cassandra",97,-1,"cassandra",170,0,0,0
"189","cassandra","landier/cassandra",0,"https://hub.docker.com/r/landier/cassandra",87,-1,"cassandra",220,1,22,23
"190","cassandra","ocaner/cassandra",0,"https://hub.docker.com/r/ocaner/cassandra",86,-1,"cassandra",212,1,23,24
"191","cassandra","fabiomendescom/cassandra",0,"https://hub.docker.com/r/fabiomendescom/cassandra",90,-1,"cassandra",221,1,22,23
"192","cassandra","datasolvr/cassandra",0,"https://hub.docker.com/r/datasolvr/cassandra",83,-1,"cassandra",200,1,23,24
"193","cassandra","landier/cassandra",0,"https://hub.docker.com/r/landier/cassandra",87,-1,"cassandra",220,1,22,23
"194","cassandra","vfang/cassandra",0,"https://hub.docker.com/r/vfang/cassandra",79,-1,"cassandra",200,1,23,24
"195","cassandra","nirmalgupta/cassandra",0,"https://hub.docker.com/r/nirmalgupta/cassandra",81,-1,"cassandra",222,1,24,25
"196","cassandra","datasolvr/cassandra",0,"https://hub.docker.com/r/datasolvr/cassandra",83,-1,"cassandra",200,1,23,24
"197","cassandra","gerbermichi/cassandra",0,"https://hub.docker.com/r/gerbermichi/cassandra",81,-1,"cassandra",199,2,40,42
"198","cassandra","sillelien/cassandra",0,"https://hub.docker.com/r/sillelien/cassandra",69,-1,"cassandra",220,1,22,23
"199","cassandra","aolins/cassandra",0,"https://hub.docker.com/r/aolins/cassandra",23,-1,"cassandra",221,5,66,71
"200","cassandra","macfly/cassandra",0,"https://hub.docker.com/r/macfly/cassandra",23,-1,"cassandra",201,5,65,70
"201","cassandra","kolesnikovkonstantin/cassandra",0,"https://hub.docker.com/r/kolesnikovkonstantin/cassandra",61,-1,"cassandra",225,1,24,25
"202","cassandra","rithium/cassandra",0,"https://hub.docker.com/r/rithium/cassandra",55,-1,"cassandra",264,5,59,64
"203","cassandra","rithium/cassandra",0,"https://hub.docker.com/r/rithium/cassandra",55,-1,"cassandra",264,5,59,64
"204","cassandra","akhs/cassandra",0,"https://hub.docker.com/r/akhs/cassandra",35,-1,"cassandra",225,8,85,93
"205","cassandra","bayraktar/cassandra",0,"https://hub.docker.com/r/bayraktar/cassandra",33,-1,"cassandra",201,5,65,70
"206","cassandra","bayraktar/cassandra",0,"https://hub.docker.com/r/bayraktar/cassandra",33,-1,"cassandra",201,5,65,70
"207","cassandra","ad681s/cassandra",0,"https://hub.docker.com/r/ad681s/cassandra",24,-1,"cassandra",201,5,65,70
"208","cassandra","benclarkwood/cassandra",0,"https://hub.docker.com/r/benclarkwood/cassandra",23,-1,"cassandra",205,5,69,74
"209","cassandra","jjusianiec/cassandra",0,"https://hub.docker.com/r/jjusianiec/cassandra",21,-1,"cassandra",172,2,28,30
"210","cassandra","dnioqfp/cassandra",0,"https://hub.docker.com/r/dnioqfp/cassandra",8,-1,"cassandra",170,0,0,0
"211","cassandra","lashin/cassandra",0,"https://hub.docker.com/r/lashin/cassandra",16,-1,"cassandra",229,7,88,95
"212","cassandra","admatic/cassandra",0,"https://hub.docker.com/r/admatic/cassandra",14,-1,"cassandra",174,6,71,77
"213","cassandra","admatic/cassandra",0,"https://hub.docker.com/r/admatic/cassandra",14,-1,"cassandra",174,6,71,77
"214","cassandra","devcamaws/cassandra",0,"https://hub.docker.com/r/devcamaws/cassandra",14,-1,"cassandra",172,4,55,59
"215","cassandra","gisecaromartinez/cassandra",0,"https://hub.docker.com/r/gisecaromartinez/cassandra",12,-1,"cassandra",172,6,70,76
