,parent_image,image,link,description type,
14596,cassandra,integrisio/cassandra,https://hub.docker.com/r/integrisio/cassandra,no,
126374,nginx,aku1/nginx,https://hub.docker.com/r/aku1/nginx,no,
100363,mysql,engines/mysql,https://hub.docker.com/r/engines/mysql,no,
93544,mysql,autopilotpattern/mysql,https://hub.docker.com/r/autopilotpattern/mysql,good,
81491,mongo,quadstingray/mongodb,https://hub.docker.com/r/quadstingray/mongodb,good,
77907,mongo,mhoush/mongo,https://hub.docker.com/r/mhoush/mongo,good,
147828,nginx,zroof/nginx,https://hub.docker.com/r/zroof/nginx,no,
77263,mongo,markusma/mongodb,https://hub.docker.com/r/markusma/mongodb,no,
131550,nginx,edvisor/nginx,https://hub.docker.com/r/edvisor/nginx,no,
117038,mysql,razvanm/mysql,https://hub.docker.com/r/razvanm/mysql,no,
70034,mongo,gazpowell/mongodb,https://hub.docker.com/r/gazpowell/mongodb,no,
28818,cassandra,resouer/cassandra,https://hub.docker.com/r/resouer/cassandra,no,
76727,mongo,lukaszm/mongodb,https://hub.docker.com/r/lukaszm/mongodb,good,
33414,cassandra,thinkin/cassandra,https://hub.docker.com/r/thinkin/cassandra,good,
84440,mongo,spakmaro/mongo,https://hub.docker.com/r/spakmaro/mongo,no,
50641,java,mschoch/java,https://hub.docker.com/r/mschoch/java,weak,
139691,nginx,mystrength/nginx,https://hub.docker.com/r/mystrength/nginx,no,
116419,mysql,poweroflinks/mysql,https://hub.docker.com/r/poweroflinks/mysql,no,
132928,nginx,flowman/nginx,https://hub.docker.com/r/flowman/nginx,good,
132149,nginx,exadra37/nginx,https://hub.docker.com/r/exadra37/nginx,good,
40329,java,bridg/java,https://hub.docker.com/r/bridg/java,weak,
97635,mysql,darthjson/mysql,https://hub.docker.com/r/darthjson/mysql,weak,
74297,mongo,kdihalas/mongodb,https://hub.docker.com/r/kdihalas/mongodb,weak,
134093,nginx,gsong/nginx,https://hub.docker.com/r/gsong/nginx,weak,
79771,mongo,oukone/mongodb,https://hub.docker.com/r/oukone/mongodb,good,
145350,nginx,unfall24/nginx,https://hub.docker.com/r/unfall24/nginx,good,
137157,nginx,krispharper/nginx,https://hub.docker.com/r/krispharper/nginx,no,
48479,java,iron/java,https://hub.docker.com/r/iron/java,no,
127174,nginx,architek/nginx,https://hub.docker.com/r/architek/nginx,weak,
128977,nginx,besthappy/nginx,https://hub.docker.com/r/besthappy/nginx,weak,
122983,mysql,vpecquerie/mysql,https://hub.docker.com/r/vpecquerie/mysql,no,
126702,nginx,amd64/nginx,https://hub.docker.com/r/amd64/nginx,good,
119734,mysql,sshejwal/mysql,https://hub.docker.com/r/sshejwal/mysql,no,
91545,mysql,aku1/mysql,https://hub.docker.com/r/aku1/mysql,no,
80686,mongo,positron/mongo,https://hub.docker.com/r/positron/mongo,good,
142956,nginx,renothing/nginx,https://hub.docker.com/r/renothing/nginx,good,
130937,nginx,davinbao/nginx,https://hub.docker.com/r/davinbao/nginx,no,
145901,nginx,walkerlee/nginx,https://hub.docker.com/r/walkerlee/nginx,no,
64544,mongo,coco/mongodb,https://hub.docker.com/r/coco/mongodb,no,
81230,mongo,qnib/mongodb,https://hub.docker.com/r/qnib/mongodb,weak,
136935,nginx,kreable/nginx,https://hub.docker.com/r/kreable/nginx,good,1
142262,nginx,rainist/nginx,https://hub.docker.com/r/rainist/nginx,weak,
145388,nginx,uspgamedev/nginx,https://hub.docker.com/r/uspgamedev/nginx,no,
95768,mysql,circleci/mysql,https://hub.docker.com/r/circleci/mysql,good,
99786,mysql,drupaldocker/mysql,https://hub.docker.com/r/drupaldocker/mysql,weak,
143344,nginx,ryurkov/nginx,https://hub.docker.com/r/ryurkov/nginx,no,
109176,mysql,laradock/mysql,https://hub.docker.com/r/laradock/mysql,weak,
35629,cassandra,vikingco/cassandra,https://hub.docker.com/r/vikingco/cassandra,no,
71683,mongo,hope/mongodb,https://hub.docker.com/r/hope/mongodb,weak,
146479,nginx,wildme/nginx,https://hub.docker.com/r/wildme/nginx,weak,
129014,nginx,bitwarden/nginx,https://hub.docker.com/r/bitwarden/nginx,weak,
143939,nginx,smartlab/nginx,https://hub.docker.com/r/smartlab/nginx,weak,
73115,mongo,jetlabs/mongodb,https://hub.docker.com/r/jetlabs/mongodb,no,
129148,nginx,blacklabelops/nginx,https://hub.docker.com/r/blacklabelops/nginx,good,
96519,mysql,conyac/mysql,https://hub.docker.com/r/conyac/mysql,no,
2613,cassandra,aolins/cassandra,https://hub.docker.com/r/aolins/cassandra,no,
95075,mysql,castelislogice/mysql,https://hub.docker.com/r/castelislogice/mysql,no,
82289,mongo,roadmunk/mongo,https://hub.docker.com/r/roadmunk/mongo,good,
133102,nginx,freenas/nginx,https://hub.docker.com/r/freenas/nginx,good,
102394,mysql,gebizar/mysql,https://hub.docker.com/r/gebizar/mysql,none,
134806,nginx,i386/nginx,https://hub.docker.com/r/i386/nginx,good,
131717,nginx,egovio/nginx,https://hub.docker.com/r/egovio/nginx,no,
